"strd_yymm","mer_zp","mer_tpbuz_cd","ctpr_nm","ccg_nm","town_nm","mer_tpbuz_nm","sale_amt"
"202011","01002","4010",서울특별시,강북구,"",편 의 점,"96844"
"202011","01004","4020",서울특별시,강북구,"",슈퍼 마켓,"8817"
"202011","01005","4010",서울특별시,강북구,"",편 의 점,"14564"
"202011","01006","4010",서울특별시,강북구,"",편 의 점,"33400"
"202011","01010","4010",서울특별시,강북구,"",편 의 점,"5100"
"202011","01014","4010",서울특별시,강북구,"",편 의 점,"58788"
"202011","01020","4010",서울특별시,강북구,"",편 의 점,"4100"
"202011","01023","4010",서울특별시,강북구,"",편 의 점,"6707"
"202011","01023","4020",서울특별시,강북구,"",슈퍼 마켓,"12373"
"202011","01024","4010",서울특별시,강북구,"",편 의 점,"18823"
"202011","01028","4020",서울특별시,강북구,"",슈퍼 마켓,"33243"
"202011","01029","4010",서울특별시,강북구,"",편 의 점,"32403"
"202011","01029","4020",서울특별시,강북구,"",슈퍼 마켓,"4100"
"202011","01030","4010",서울특별시,강북구,"",편 의 점,"26230"
"202011","01031","4010",서울특별시,강북구,"",편 의 점,"59581"
"202011","01035","4010",서울특별시,강북구,"",편 의 점,"12134"
"202011","01041","4010",서울특별시,강북구,"",편 의 점,"5167"
"202011","01041","4020",서울특별시,강북구,"",슈퍼 마켓,"284938"
"202011","01042","4010",서울특별시,강북구,"",편 의 점,"33766"
"202011","01043","4010",서울특별시,강북구,"",편 의 점,"13986"
"202011","01044","4010",서울특별시,강북구,"",편 의 점,"43952"
"202011","01044","8006",서울특별시,강북구,"",서양음식,"7367"
"202011","01045","4010",서울특별시,강북구,"",편 의 점,"16966"
"202011","01047","4010",서울특별시,강북구,"",편 의 점,"14433"
"202011","01047","4020",서울특별시,강북구,"",슈퍼 마켓,"237144"
"202011","01053","4020",서울특별시,강북구,"",슈퍼 마켓,"17647"
"202011","01054","4010",서울특별시,강북구,"",편 의 점,"18273"
"202011","01055","4010",서울특별시,강북구,"",편 의 점,"59330"
"202011","01056","2199",서울특별시,강북구,"",기타레져업,"20100"
"202011","01056","4010",서울특별시,강북구,"",편 의 점,"7674"
"202011","01056","4020",서울특별시,강북구,"",슈퍼 마켓,"35416"
"202011","01059","4010",서울특별시,강북구,"",편 의 점,"4133"
"202011","01062","4010",서울특별시,강북구,"",편 의 점,"14433"
"202011","01062","8001",서울특별시,강북구,"",일반한식,"25200"
"202011","01063","4020",서울특별시,강북구,"",슈퍼 마켓,"16573"
"202011","01063","8006",서울특별시,강북구,"",서양음식,"5500"
"202011","01064","4010",서울특별시,강북구,"",편 의 점,"8423"
"202011","01066","4020",서울특별시,강북구,"",슈퍼 마켓,"29527"
"202011","01071","4010",서울특별시,강북구,"",편 의 점,"8733"
"202011","01072","4010",서울특별시,강북구,"",편 의 점,"3667"
"202011","01072","8006",서울특별시,강북구,"",서양음식,"4700"
"202011","01076","4010",서울특별시,강북구,"",편 의 점,"61875"
"202011","01076","4020",서울특별시,강북구,"",슈퍼 마켓,"178919"
"202011","01078","4010",서울특별시,강북구,"",편 의 점,"12566"
"202011","01079","4010",서울특별시,강북구,"",편 의 점,"8563"
"202011","01079","4020",서울특별시,강북구,"",슈퍼 마켓,"21410"
"202011","01080","4010",서울특별시,강북구,"",편 의 점,"205291"
"202011","01080","4020",서울특별시,강북구,"",슈퍼 마켓,"23020"
"202011","01081","4010",서울특별시,강북구,"",편 의 점,"27293"
"202011","01090","4020",서울특별시,강북구,"",슈퍼 마켓,"43910"
